PLAYER_NAME,PLAYER_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,PLUS_MINUS,SEASON_TYPE,GAMES_PLAYED
LeBron James,2544.0,35.876662636033856,9.738814993954051,18.54776299879081,0.5266384522370012,1.6892382103990327,4.733978234582829,0.32021402660217657,4.879081015719468,6.730350665054414,0.709087061668682,26.045949214026603,1.124546553808948,6.518742442563482,7.643288996372431,7.453446191051995,1.4244256348246676,0.6711003627569528,3.54776299879081,1.7122128174123337,5.268472906403941,Regular,827
LeBron James,2544.0,40.10967741935484,10.87741935483871,20.980645161290322,0.5247741935483872,1.6903225806451614,4.993548387096774,0.31012903225806454,5.941935483870968,8.148387096774194,0.7085096774193548,29.387096774193548,1.5290322580645161,7.858064516129033,9.387096774193548,7.425806451612903,1.7096774193548387,0.9161290322580645,3.825806451612903,2.296774193548387,6.167741935483871,Playoffs,155
Kevin Durant,201142.0,35.51830985915493,9.42112676056338,18.298591549295775,0.5256225352112676,2.102816901408451,5.322535211267605,0.4042746478873239,6.446478873239436,7.274647887323944,0.8659450704225351,27.39154929577465,0.5352112676056338,6.725352112676056,7.26056338028169,5.033802816901408,1.0253521126760563,1.195774647887324,3.1859154929577467,1.9323943661971832,7.2869440459110475,Regular,710
Kevin Durant,201142.0,39.984375,10.2109375,20.9453125,0.4976953125,2.2421875,6.21875,0.369625,7.125,8.1484375,0.8630625000000001,29.7890625,0.7265625,6.953125,7.6796875,4.265625,1.0703125,1.1875,3.265625,2.4453125,5.3046875,Playoffs,128
Kyrie Irving,202681.0,33.66517857142857,8.389880952380953,17.855654761904763,0.46620535714285716,2.2351190476190474,5.71875,0.37726636904761907,3.8229166666666665,4.3273809523809526,0.793639880952381,22.83779761904762,0.7693452380952381,3.050595238095238,3.8199404761904763,5.623511904761905,1.318452380952381,0.4166666666666667,2.580357142857143,2.2842261904761907,2.245426829268293,Regular,672
Kyrie Irving,202681.0,36.71621621621622,8.5,18.68918918918919,0.4581216216216217,2.324324324324324,5.918918918918919,0.3924729729729729,3.972972972972973,4.45945945945946,0.7988378378378378,23.2972972972973,0.8243243243243243,2.8513513513513513,3.675675675675676,4.837837837837838,1.4189189189189189,0.6216216216216216,2.2162162162162162,2.310810810810811,5.445945945945946,Playoffs,74
Kawhi Leonard,202695.0,30.84399375975039,6.700468018720749,13.694227769110764,0.4897223088923557,1.4617784711388455,3.8673946957878313,0.3555429017160686,3.7441497659906395,4.416536661466458,0.6957410296411856,18.606864274570984,1.2277691107644306,5.157566302652106,6.385335413416537,2.8346333853354135,1.7098283931357254,0.609984399375975,1.5850234009360376,1.703588143525741,6.306349206349206,Regular,641
Kawhi Leonard,202695.0,35.13559322033898,7.838983050847458,15.432203389830509,0.5081694915254237,1.7542372881355932,4.406779661016949,0.37049999999999994,4.8559322033898304,5.6440677966101696,0.7553220338983051,22.28813559322034,1.6864406779661016,5.932203389830509,7.61864406779661,3.1016949152542375,1.771186440677966,0.711864406779661,1.9661016949152543,2.2711864406779663,4.940677966101695,Playoffs,118
James Harden,201935.0,35.998831775700936,7.975467289719626,17.997663551401867,0.44340887850467287,3.0198598130841123,8.322429906542055,0.3616542056074767,8.129672897196262,9.44392523364486,0.8514474299065421,27.100467289719628,0.8107476635514018,5.203271028037383,6.014018691588785,7.711448598130841,1.605140186915888,0.572429906542056,4.1985981308411215,2.5899532710280373,4.365361803084223,Regular,856
James Harden,201935.0,36.98412698412698,7.4523809523809526,17.595238095238095,0.41573809523809524,2.6984126984126986,8.015873015873016,0.3387698412698412,7.373015873015873,8.444444444444445,0.8373095238095238,24.976190476190474,0.8095238095238095,4.817460317460317,5.626984126984127,6.746031746031746,1.746031746031746,0.5317460317460317,3.880952380952381,3.119047619047619,2.1746031746031744,Playoffs,126
Anthony Davis,203076.0,33.60844250363901,8.714701601164483,16.892285298398836,0.5137729257641921,0.48180494905385735,1.5720524017467248,0.1608777292576419,5.526928675400291,6.975254730713246,0.7457569141193596,23.438136826783115,2.491994177583697,7.551673944687045,10.043668122270743,2.2925764192139737,1.3493449781659388,2.272197962154294,1.9213973799126638,2.3173216885007277,0.9866071428571429,Regular,687
Anthony Davis,203076.0,37.02564102564103,9.820512820512821,18.256410256410255,0.5244358974358975,0.7948717948717948,2.4358974358974357,0.26023076923076927,6.897435897435898,8.23076923076923,0.8063589743589742,27.333333333333332,2.4358974358974357,7.871794871794871,10.307692307692308,2.7948717948717947,1.3333333333333333,1.8205128205128205,2.4358974358974357,2.7435897435897436,4.0256410256410255,Playoffs,39
Ben Simmons,1627732.0,32.803125,6.11875,10.95,0.563303125,0.01875,0.121875,0.0171875,2.715625,4.625,0.499815625,14.971875,1.75,6.146875,7.896875,7.5125,1.64375,0.725,3.26875,2.871875,2.98125,Regular,320
Ben Simmons,1627732.0,35.029411764705884,5.647058823529412,9.882352941176471,0.5685000000000001,0.0,0.058823529411764705,0.0,2.6176470588235294,5.029411764705882,0.4358529411764706,13.911764705882353,1.8823529411764706,6.147058823529412,8.029411764705882,7.5,1.3823529411764706,0.8823529411764706,3.0294117647058822,3.4705882352941178,3.8529411764705883,Playoffs,34
